sample_id,product,angular_frequency,storage_modulus,loss_modulus,tan_delta,temperature
cheese_rheo_2fb28bc39b10,dairy_cheddar,2.00475,424815,152934.0,0.360001,25
cheese_rheo_caf5fd7a2800,plant_feta,3.17733,188390,170152.0,0.903191,25
cheese_rheo_caf5fd7a2800,plant_feta,0.317731,133080,122158.0,0.917931,25
cheese_rheo_80ff05481ad9,plant_feta,3.17733,390328,366336.0,0.938533,25
cheese_rheo_8c9adf1d7529,plant_cheddar,19.9526,446822,57635.2,0.128989,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,0.4,195749,65795.8,0.336124,25
cheese_rheo_ffe0014387aa,plant_cheddar,0.794327,301942,67305.2,0.222907,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,3.17733,275697,86835.1,0.314966,25
cheese_rheo_efba4e3bce95,dairy_cheddar,0.159243,529388,192048.0,0.362774,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,0.252383,432128,63921.1,0.147922,25
cheese_rheo_caf5fd7a2800,plant_feta,1.59243,167166,155620.0,0.930928,25
cheese_rheo_2d5fd8e35091,dairy_feta,12.6492,1617800,481535.0,0.297649,25
cheese_rheo_8c9adf1d7529,plant_cheddar,0.316228,372328,52528.6,0.141081,25
cheese_rheo_4e15653d79b9,plant_cheddar,20.0475,500896,51496.8,0.10281,25
cheese_rheo_882c53b17985,dairy_mozzarella,12.6492,328438,105386.0,0.320871,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,0.159243,428340,64198.7,0.149878,25
cheese_rheo_9e358f6dde22,dairy_feta,2.00475,660154,198776.0,0.301106,25
cheese_rheo_3d3025531656,dairy_mozzarella,0.633961,250551,81682.4,0.326011,25
cheese_rheo_ea72985b5acd,plant_mozzarella,2.00475,436206,56414.9,0.129331,25
cheese_rheo_7236086d1bf4,dairy_cheddar,4.00003,624216,216170.0,0.346307,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,0.4,435638,64523.1,0.148112,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,1.00476,444517,66049.9,0.148588,25
cheese_rheo_ba444256711d,dairy_feta,6.33961,1811640,539583.0,0.297843,25
cheese_rheo_e594cc002175,plant_mozzarella,4.00003,392664,77285.5,0.196824,25
cheese_rheo_887f199562ea,dairy_cheddar,1.59243,446424,178040.0,0.398814,25
cheese_rheo_ea72985b5acd,plant_mozzarella,0.633961,418980,54890.4,0.13101,25
cheese_rheo_ea0a03a926f1,plant_cheddar,1.00476,446670,32761.0,0.0733448,25
